sexo,rango_etario,comuna,barrio,estado_cud,junta_discapacidad,orientación_prestacional,tipo_orientacion_prestacional_1,tipo_orientacion_prestacional_2,tipo_orientacion_prestacional_3,tipo_orientacion_prestacional_4,otra_orientacion_prestacional,tipo_de_vivienda,alfabetizacion,cobertura_de_salud,total,cud_activos,cud_vencidos
Femenino,0-5 Primera infancia,1,Constitucion,Vencido,Mixta,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),,,Departamento,No corresponde,Obra Social,1,0,0
Femenino,0-5 Primera infancia,1,Constitucion,Vigente,Auditiva,Con orientación prestacional,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,,Departamento,No corresponde,Pública,1,0,0
Femenino,0-5 Primera infancia,1,Constitucion,Vigente,Mental,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Casa,No corresponde,Obra Social,2,0,0
Femenino,0-5 Primera infancia,1,Constitucion,Vigente,Mental,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Departamento,No corresponde,Obra Social,4,0,0
Femenino,0-5 Primera infancia,1,Constitucion,Vigente,Mental,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Departamento,No corresponde,Prepaga,2,0,0
Femenino,0-5 Primera infancia,1,Constitucion,Vigente,Mental,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Pieza en hotel familiar o pensión,No corresponde,Pública,1,0,0
Femenino,0-5 Primera infancia,1,Constitucion,Vigente,Mental,Con orientación prestacional,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,,Casa,No corresponde,Prepaga,1,0,0
Femenino,0-5 Primera infancia,1,Constitucion,Vigente,Mental,Con orientación prestacional,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,,Casa,No corresponde,Pública,1,0,0
Femenino,0-5 Primera infancia,1,Constitucion,Vigente,Mental,Con orientación prestacional,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,,Departamento,No corresponde,Obra Social,2,0,0
Femenino,0-5 Primera infancia,1,Constitucion,Vigente,Mixta,Con orientación prestacional,Centro educativo terapéutico,Estimulación temprana,Prestaciones de rehabilitación,Servicio de apoyo a la integracion escolar,,Departamento,No corresponde,Obra Social,1,0,0
Femenino,0-5 Primera infancia,1,Constitucion,Vigente,Mixta,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Departamento,No corresponde,Pública,1,0,0
Femenino,0-5 Primera infancia,1,Constitucion,Vigente,Visceral,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Departamento,No corresponde,Obra Social,2,0,0
Femenino,0-5 Primera infancia,1,Monserrat,Vigente,Mental,Con orientación prestacional,Centro educativo terapéutico,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Casa,No corresponde,Pública,1,0,0
Femenino,0-5 Primera infancia,1,Monserrat,Vigente,Mental,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Departamento,No corresponde,Obra Social,3,0,0
Femenino,0-5 Primera infancia,1,Monserrat,Vigente,Mental,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Departamento,No corresponde,Pública,1,0,0
Femenino,0-5 Primera infancia,1,Monserrat,Vigente,Mental,Con orientación prestacional,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,,Casa,No corresponde,Pública,1,0,0
Femenino,0-5 Primera infancia,1,Monserrat,Vigente,Mental,Con orientación prestacional,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,,Departamento,No corresponde,Obra Social,5,0,0
Femenino,0-5 Primera infancia,1,Monserrat,Vigente,Mental,Con orientación prestacional,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,,Departamento,No corresponde,Pública,2,0,0
Femenino,0-5 Primera infancia,1,Monserrat,Vigente,Mixta,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Departamento,No corresponde,Prepaga,1,0,0
Femenino,0-5 Primera infancia,1,Monserrat,Vigente,Motora,Con orientación prestacional,Prestaciones de rehabilitación,,,,,Departamento,No corresponde,Obra Social,1,0,0
Femenino,0-5 Primera infancia,1,Retiro,Vigente,Auditiva,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Casa,No corresponde,Pública,1,0,0
Femenino,0-5 Primera infancia,1,Retiro,Vigente,Auditiva,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Departamento,No corresponde,Pública,1,0,0
Femenino,0-5 Primera infancia,1,Retiro,Vigente,Auditiva,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Pieza en hotel familiar o pensión,No corresponde,Pública,1,0,0
Femenino,0-5 Primera infancia,1,Retiro,Vigente,Mental,Con orientación prestacional,Asistencia domiciliaria,Estimulación temprana,Prestaciones de rehabilitación,Servicio de apoyo a la integracion escolar,,Departamento,No corresponde,Obra Social,1,0,0
Femenino,0-5 Primera infancia,1,Retiro,Vigente,Mental,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),,,Departamento,No corresponde,Prepaga,1,0,0
Femenino,0-5 Primera infancia,1,Retiro,Vigente,Mental,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Casa,No corresponde,Pública,2,0,0
Femenino,0-5 Primera infancia,1,Retiro,Vigente,Mental,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Departamento,No corresponde,Obra Social,2,0,0
Femenino,0-5 Primera infancia,1,Retiro,Vigente,Mental,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Departamento,No corresponde,Prepaga,2,0,0
Femenino,0-5 Primera infancia,1,Retiro,Vigente,Mental,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Departamento,No corresponde,Pública,2,0,0
Femenino,0-5 Primera infancia,1,Retiro,Vigente,Mental,Con orientación prestacional,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,,Departamento,No corresponde,Obra Social,1,0,0
Femenino,0-5 Primera infancia,1,Retiro,Vigente,Mixta,Con orientación prestacional,Prestaciones de rehabilitación,,,,,Otro,No corresponde,Pública,1,0,0
Femenino,0-5 Primera infancia,1,Retiro,Vigente,Motora,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,,,,Departamento,No corresponde,Obra Social,1,0,0
Femenino,0-5 Primera infancia,1,San Nicolas,Vigente,Auditiva,Con orientación prestacional,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,,Departamento,No corresponde,Pública,1,0,0
Femenino,0-5 Primera infancia,1,San Nicolas,Vigente,Mental,Con orientación prestacional,Asistencia domiciliaria,Estimulación temprana,Prestaciones de rehabilitación,Transporte,,Departamento,No corresponde,Obra Social,1,0,0
Femenino,0-5 Primera infancia,1,San Nicolas,Vigente,Mental,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Departamento,No corresponde,Obra Social,3,0,0
Femenino,0-5 Primera infancia,1,San Nicolas,Vigente,Mental,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Departamento,No corresponde,Prepaga,1,0,0
Femenino,0-5 Primera infancia,1,San Nicolas,Vigente,Mental,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Departamento,No corresponde,Pública,2,0,0
Femenino,0-5 Primera infancia,1,San Nicolas,Vigente,Mental,Con orientación prestacional,Estimulación temprana,Prestaciones de rehabilitación,Prestaciones educativas (Inicial/EGB),Servicio de apoyo a la integracion escolar,,Pieza en hotel familiar o pensión,No corresponde,Obra Social,1,0,0
