comuna,rango_etario,sexo,junta_discapacidad,barrio,total,cud_activos,cud_vencidos
1,"0-5 Primera infancia",FEMENINO,Auditiva,Constitucion,1,1,0
1,"0-5 Primera infancia",FEMENINO,Auditiva,Retiro,1,1,0
1,"0-5 Primera infancia",FEMENINO,Auditiva,San Nicolas,1,0,1
1,"0-5 Primera infancia",FEMENINO,Mental,Constitucion,13,13,0
1,"0-5 Primera infancia",FEMENINO,Mental,Monserrat,10,9,1
1,"0-5 Primera infancia",FEMENINO,Mental,Retiro,8,8,0
1,"0-5 Primera infancia",FEMENINO,Mental,San Nicolas,15,15,0
1,"0-5 Primera infancia",FEMENINO,Mental,San Telmo,2,2,0
1,"0-5 Primera infancia",FEMENINO,Mixta,Constitucion,3,3,0
1,"0-5 Primera infancia",FEMENINO,Mixta,Monserrat,2,2,0
1,"0-5 Primera infancia",FEMENINO,Mixta,Retiro,1,1,0
1,"0-5 Primera infancia",FEMENINO,Mixta,San Nicolas,2,2,0
1,"0-5 Primera infancia",FEMENINO,Motora,Monserrat,1,1,0
1,"0-5 Primera infancia",FEMENINO,Motora,Retiro,1,1,0
1,"0-5 Primera infancia",FEMENINO,Motora,San Nicolas,1,1,0
1,"0-5 Primera infancia",FEMENINO,Visceral,Constitucion,2,2,0
1,"0-5 Primera infancia",FEMENINO,Visual,Constitucion,1,1,0
1,"0-5 Primera infancia",FEMENINO,Visual,San Telmo,1,1,0
1,"0-5 Primera infancia",MASCULINO,Auditiva,Monserrat,2,2,0
1,"0-5 Primera infancia",MASCULINO,Auditiva,Retiro,1,1,0
1,"0-5 Primera infancia",MASCULINO,Auditiva,San Nicolas,3,2,1
1,"0-5 Primera infancia",MASCULINO,Mental,Constitucion,41,40,1
1,"0-5 Primera infancia",MASCULINO,Mental,Monserrat,37,37,0
1,"0-5 Primera infancia",MASCULINO,Mental,Retiro,20,20,0
1,"0-5 Primera infancia",MASCULINO,Mental,San Nicolas,15,15,0
1,"0-5 Primera infancia",MASCULINO,Mental,San Telmo,11,11,0
1,"0-5 Primera infancia",MASCULINO,Mixta,Constitucion,6,6,0
1,"0-5 Primera infancia",MASCULINO,Mixta,Monserrat,5,5,0
1,"0-5 Primera infancia",MASCULINO,Mixta,Retiro,2,2,0
1,"0-5 Primera infancia",MASCULINO,Mixta,San Nicolas,4,4,0
1,"0-5 Primera infancia",MASCULINO,Mixta,San Telmo,1,1,0
1,"0-5 Primera infancia",MASCULINO,Motora,Constitucion,2,2,0
1,"0-5 Primera infancia",MASCULINO,Motora,Monserrat,1,1,0
1,"0-5 Primera infancia",MASCULINO,Motora,Retiro,2,2,0
